country,Less than 2 year,2-3.9 Year,4-7.9 Year,8-12 Year,Lifetime ban
Russia,1,31,4,2,5
India,,27,2,4,1
Morocco,,7,7,2,
Kenya,,13,2,,
Turkey,,11,,1,2
Ukraine,1,3,4,,4
Brazil,2,7,1,,2
Italy,,7,1,1,1
France,2,5,1,1,
USA,1,2,2,1,2
Other,2,62,22,12,16
